일자,주가,전일대비,전일대비가격,거래량,변동수량,보유비중,보유주식수,취득가능주식수,외국인한도,한도소진율
2021-11-12,"165,000",▲,"13,100","131,114","-12,825",17.36,"1,545,493","7,354,713","8,900,206",17.36%
2021-11-11,"151,900",▼,"-2,600","49,022","-3,423",17.51,"1,558,318","7,341,888","8,900,206",17.51%
2021-11-10,"154,500",▼,"-3,300","43,308","-3,339",17.55,"1,561,741","7,338,465","8,900,206",17.55%
2021-11-09,"157,800",▼,"-2,200","26,338","-1,852",17.58,"1,565,080","7,335,126","8,900,206",17.58%
2021-11-08,"160,000",▼,"-1,500","38,934","-9,582",17.61,"1,566,932","7,333,274","8,900,206",17.61%
2021-11-05,"161,500",▲,100,"26,310","4,584",17.71,"1,576,514","7,323,692","8,900,206",17.71%
2021-11-04,"161,400",▼,-800,"30,355","-4,658",17.66,"1,571,930","7,328,276","8,900,206",17.66%
2021-11-03,"162,200",▲,"1,000","29,275","1,458",17.71,"1,576,588","7,323,618","8,900,206",17.71%
2021-11-02,"161,200", ,0,"15,590",-447,17.7,"1,575,130","7,325,076","8,900,206",17.70%
2021-11-01,"161,200",▲,"4,300","43,694","12,793",17.7,"1,575,577","7,324,629","8,900,206",17.70%
2021-10-29,"156,900",▼,"-1,100","30,471","-11,031",17.56,"1,562,784","7,337,422","8,900,206",17.56%
2021-10-28,"158,000",▼,"-2,800","31,516","-8,504",17.68,"1,573,815","7,326,391","8,900,206",17.68%
2021-10-27,"160,800",▼,"-3,100","18,788","-4,079",17.78,"1,582,319","7,317,887","8,900,206",17.78%
2021-10-26,"163,900",▲,"1,900","20,679","3,588",17.82,"1,586,398","7,313,808","8,900,206",17.82%
2021-10-25,"162,000",▼,-200,"24,513","-2,599",17.78,"1,582,810","7,317,396","8,900,206",17.78%
2021-10-22,"162,200",▼,-700,"16,568","1,959",17.81,"1,585,409","7,314,797","8,900,206",17.81%
2021-10-21,"162,900",▼,"-2,300","18,969","-2,133",17.79,"1,583,450","7,316,756","8,900,206",17.79%
2021-10-20,"165,200",▲,400,"18,926",-798,17.82,"1,585,583","7,314,623","8,900,206",17.82%
2021-10-19,"164,800",▲,"1,300","28,191","-2,850",17.82,"1,586,381","7,313,825","8,900,206",17.82%
2021-10-18,"163,500",▼,"-1,500","19,675","-6,257",17.86,"1,589,231","7,310,975","8,900,206",17.86%
2021-10-15,"165,000",▼,"-4,000","31,562","-12,919",17.93,"1,595,488","7,304,718","8,900,206",17.93%
2021-10-14,"169,000",▲,"10,500","46,984","4,702",18.07,"1,608,407","7,291,799","8,900,206",18.07%
2021-10-13,"158,500",▲,"1,100","22,166","-7,984",18.02,"1,603,705","7,296,501","8,900,206",18.02%
2021-10-12,"157,400",▼,-900,"28,927","-8,883",18.11,"1,611,689","7,288,517","8,900,206",18.11%
2021-10-08,"158,300",▼,"-3,400","32,845","-6,101",18.21,"1,620,572","7,279,634","8,900,206",18.21%
